,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
569,온천장,경기도 용인시 처인구 양지면 양지로 142,37.2343957,127.2839965,숙박업소,9,11,9,6,0,128
570,서천2차아이파크아파트,경기도 용인시 기흥구 서천동로21번길 5,37.2391562,127.0769117,아파트주차장,10,11,3,9,7,128
571,흥덕우남퍼스트빌리젠트,경기도 용인시 기흥구 흥덕중앙로105번길 40,37.2802751,127.0814718,아파트주차장,10,9,5,8,11,128
572,이삭베스트,경기도 용인시 처인구 경안천로256번길 47-14,37.2524826,127.2271614,아파트주차장,10,1,18,3,13,127
573,초당마을현진에버빌,경기도 용인시 기흥구 동백중앙로 73,37.2623233,127.1595466,아파트주차장,5,5,15,15,7,127
574,흥덕마을12단지,경기도 용인시 기흥구 흥덕3로 20,37.2714692,127.0840876,아파트주차장,4,10,3,17,22,125
575,영통빌리지,경기도 용인시 기흥구 중부대로55번길 11,37.2686457,127.0759171,아파트주차장,6,12,3,13,10,123
576,스카이모텔,경기도 용인시 처인구 용인대학로 49 ,37.2337762,127.1776853,숙박업소,3,12,5,17,10,122
577,동아,경기도 용인시 처인구 이원로 22,37.1891227,127.20946,아파트주차장,6,7,17,2,8,121
578,예현마을현대홈타운,경기도 용인시 기흥구 예현로35번길 21,37.2413755,127.0679165,아파트주차장,2,20,3,5,12,121
579,신동백동도센트리움,경기도 용인시 기흥구 언동로 207,37.2850783,127.1384014,아파트주차장,10,7,4,12,5,119
580,양지장,경기도 용인시 처인구 양지면 양지로 142-5,37.23405329,127.2840651,숙박업소,8,10,9,6,0,119
581,양지마을신원아침도시,경기도 용인시 처인구 교동로 1,37.2349109,127.2853868,아파트주차장,10,9,7,5,1,118
582,샘골마을신미주2단지,경기도 용인시 처인구 백옥대로587번길 7,37.1890263,127.2052835,아파트주차장,7,5,15,4,9,117
583,푸른여인숙,경기도 용인시 처인구 양지면 양지로138번길 3 ,37.2340498,127.2837266,숙박업소,8,10,9,5,0,117
584,금평마을영화,경기도 용인시 처인구 금어로 102,37.2655097,127.2259155,아파트주차장,8,5,9,10,9,116
585,예진마을3차,경기도 용인시 처인구 한터로152번길 62,37.2444956,127.2309547,아파트주차장,7,5,15,6,4,116
586,효천마을신안인스빌,경기도 용인시 처인구 문현로 326,37.336697,127.2434822,아파트주차장,7,5,16,1,11,116
587,자봉마을써니밸리,경기도 용인시 기흥구 사은로 274-22,37.2512824,127.1355454,아파트주차장,8,9,8,2,10,114
588,샹그리아,경기도 용인시 처인구 양지면 양지로148번길 11,37.23349584,127.2848446,숙박업소,8,10,8,4,1,113
