,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
82,더샵동천이스트포레아파트,44,36,39,52,35,620
83,더샵수지포레,50,47,43,47,14,675
84,도담마을 한양수자인,47,41,39,41,32,630
85,도담마을9단지죽전파크빌,54,53,47,40,44,747
86,도담마을뜨리에체,56,52,37,29,44,701
87,도담마을롯데캐슬,50,48,46,39,45,703
88,도담마을아이파크,45,45,46,43,38,667
89,도담마을휴먼빌아파트,47,43,46,40,38,663
90,도현마을현대,36,28,24,28,23,443
91,동문그린,44,35,14,35,20,492
92,동백동원로얄듀크,39,31,14,34,27,456
93,동백역 경남아너스빌,12,14,20,23,12,234
94,동백하우스디카바나,22,24,19,23,15,324
95,동보1차,34,38,55,63,43,656
96,동부1차,38,39,53,59,43,666
97,동부센트레빌5단지,20,27,14,19,12,300
98,동아,6,7,17,2,8,121
99,동아솔레시티,10,10,21,31,20,235
100,동원로얄듀크,15,16,8,12,20,207
101,동일하이빌1차,17,20,22,14,21,280
102,동일하이빌2단지,37,41,23,27,18,490
103,동일하이빌2차,19,23,19,11,17,283
104,동일하이빌3단지,31,25,13,18,16,346
105,동일하이빌4단지,19,20,9,15,13,245
106,동천 파크 자이 아파트,24,24,8,22,21,305
107,동천더샵파크사이드,15,14,2,14,12,177
108,동천동문5차굿모닝힐,47,39,18,40,15,540
109,동천동문6차굿모닝힐,50,39,17,38,14,547
110,동천마을동문3차,48,40,20,41,24,566
111,동천마을현대1차홈타운,48,38,19,36,16,537
112,동천마을현대2차홈타운,55,43,21,44,20,618
113,동천센트럴자이아파트,33,24,9,25,17,355
114,동천자이아파트,27,14,11,14,13,265
115,드림랜드,31,44,29,43,72,576
116,래미안수지이스트파크,46,41,49,52,33,678
117,래미안이스트팰리스1단지,29,27,10,29,21,362
118,래미안이스트팰리스2단지,38,34,16,37,25,473
119,래미안이스트팰리스3단지,34,31,19,34,26,445
120,래미안이스트팰리스4단지,16,18,4,17,18,216
121,마북e편한세상,12,16,16,19,18,228
122,마북우림,20,20,33,30,18,357
123,마평라이프,16,6,25,14,18,225
124,마평우성,22,6,30,17,19,277
125,만현마을1단지롯데캐슬,52,48,41,63,31,732
126,만현마을2단지현대아이파크,62,55,50,51,15,797
127,만현마을3단지성원상떼빌,50,47,45,52,16,693
128,만현마을5단지현대,63,51,52,49,15,788
129,만현마을두산위브,53,45,45,37,11,665
130,만현마을쌍용1차,51,47,42,39,12,659
131,만현마을쌍용3차,60,55,55,47,13,792
132,매화마을 우남 퍼스트빌,2,5,14,4,14,94
133,모현KCC스위첸,8,11,16,4,16,156
134,물푸레마을경남아너스빌,12,9,11,17,4,167
135,물푸레마을휴먼시아1단지,14,7,14,16,7,179
136,물푸레마을휴먼시아2단지,16,10,17,20,8,219
137,물푸레마을휴먼시아5단지,16,11,16,21,7,221
138,물푸레마을휴먼시아7단지,17,17,17,24,8,260
139,물푸레마을휴먼시아9단지,14,21,15,25,6,255
140,민속마을 신창미션힐,26,16,27,8,3,294
141,민속마을쌍용,25,37,32,9,7,394
142,민속마을현대모닝사이드,28,25,32,8,5,357
143,배머루베네치아,10,5,14,6,9,133
144,백현마을경남아너스빌,17,17,18,20,21,268
145,백현마을동일하이빌,33,35,25,29,36,474
146,백현마을모아미래도1단지,20,29,23,27,32,371
147,백현마을모아미래도2단지,19,22,18,22,27,308
148,백현마을상록롯데캐슬,32,27,28,19,27,417
149,백현마을서해그랑블,14,28,18,28,25,317
150,백현마을주공7단지,15,23,18,24,25,294
151,백현마을주공9단지,13,13,14,12,15,198
152,백현마을코아루,30,33,25,26,36,445
153,백현마을한라비발디1단지,24,26,22,23,28,364
154,백현마을한라비발디2단지,25,27,26,22,30,385
155,버들치마을 경남아너스빌1차,34,27,13,15,6,353
156,버들치마을경남아너스빌2차,30,22,15,14,5,316
157,버들치마을힐스테이트2차,41,36,21,24,12,472
158,벽산,54,36,32,32,24,598
159,벽산블루밍,67,41,45,43,25,745
160,벽산첼시빌2,47,37,14,22,10,479
161,벽산타운1단지,47,30,26,25,17,500
162,벽산타운3단지,49,33,29,25,23,537
163,보뜨랑마을벽산블루밍,37,29,14,29,11,412
164,보라마을현대모닝사이드2차,5,30,19,13,25,253
