시군명,사업장명,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,
용인시,2도비어 동백역점,"경기도 용인시 기흥구 동백3로11번길 7 (중동, 포스트타워 106호)",경기도 용인시 기흥구 중동 851-3번지 포스트타워 106호 ,17006,37.26950956,127.1530726,
용인시,2도비어 동백점,"경기도 용인시 기흥구 동백중앙로 283, 골드프라자 B동 126호 (중동)",경기도 용인시 기흥구 중동 829 골드프라자 B동 126호,17006,37.27801094,127.1534848,
용인시,2층푸드,"경기도 용인시 처인구 포곡읍 포곡로 103, 2층",경기도 용인시 처인구 포곡읍 둔전리 393-11 2층 ,17027,37.26931903,127.2169794,
용인시,3.3삼겹살,경기도 용인시 수지구 풍덕천로140번길 5-11 (풍덕천동),경기도 용인시 수지구 풍덕천동 717-10 ,16835,37.32381449,127.0977089,
용인시,3.5cm왕소금구이 용인점,"경기도 용인시 기흥구 한보라1로10번길 5, 106호 (보라동)",경기도 용인시 기흥구 보라동 576번지 106호,17080,37.2534371,127.1089725,
용인시,300BUN,"경기도 용인시 기흥구 평촌3로 32, 지하1,지상1층 (동백동)","경기도 용인시 기흥구 동백동 633-15 지하1층, 지상1층 ",17001,37.27903779,127.1532319,
용인시,33떡볶이 용인역북점,경기도 용인시 처인구 명지로40번길 9,,,,,
용인시,353라운지,"경기도 용인시 기흥구 관곡로 92, 302호 (구갈동, 신건프라자)",경기도 용인시 기흥구 구갈동 353-4번지 신건프라자 302호,16972,37.2804008,127.1134643,
용인시,37.5 고기리점,경기도 용인시 수지구 고기로 456,,,,,
용인시,37.5 수지성복점,경기도 용인시 수지구 성복2로76번길 25-38,,,,,
용인시,37.5 한화리조트 용인점,경기도 용인시 처인구 남사읍 봉무로153번길 79,,,,,
용인시,4326함바그,"경기도 용인시 처인구 명지로16번길 9-11, YB테라스 1층 121호 (역북동)",경기도 용인시 처인구 역북동 746번지 ,17055,37.23324839,127.1871049,
용인시,43도,"경기도 용인시 기흥구 동백5로 21-5 (중동,203호)",경기도 용인시 기흥구 중동 832-6번지 203호,17006,37.2767904,127.1520432,
용인시,49포차,경기도 용인시 처인구 모현읍 외대로 48,경기도 용인시 처인구 모현읍 왕산리 494-11 ,17035,37.3355024,127.2546727,
용인시,500원참숯양꼬치,"경기도 용인시 처인구 금령로107번길 9 (김량장동, 외3필지 1층일부)",경기도 용인시 처인구 김량장동 131-15번지 외3필지 1층일부 ,17052,37.23624164,127.2079265,
용인시,508,"경기도 용인시 수지구 만현로 36, 토마토프라자 1층 107호 일부호 (상현동)",경기도 용인시 수지구 상현동 12 토마토프라자 ,16929,37.31272029,127.0877805,
용인시,508 세컨밀,"경기도 용인시 수지구 만현로 36, 토마토프라자 1층 107호 (상현동)",경기도 용인시 수지구 상현동 12 토마토프라자 ,16929,37.31272029,127.0877805,
용인시,519키친(519kitchen),"경기도 용인시 수지구 광교중앙로 319 (상현동, 광교스타천 604호)",경기도 용인시 수지구 상현동 1117 광교스타천 604호 ,16944,37.29851993,127.0690942,
용인시,59쌀피자 용인한숲시티점,경기도 용인시 처인구 남사읍 한숲로 60,,,,,
용인시,5oz버거,"경기도 용인시 기흥구 흥덕중앙로 41, 흥덕웰스프라자 1층 101호 (영덕동)",경기도 용인시 기흥구 영덕동 975-2 흥덕웰스프라자 1층 101호 ,16953,37.27652584,127.0715432,
용인시,60계 경기죽전점,"경기도 용인시 수지구 현암로 27, 1층 일부호 (죽전동)",경기도 용인시 수지구 죽전동 548번지 ,16866,37.33173356,127.1118809,
용인시,60계경기용인고림점,"경기도 용인시 처인구 고림로200번길 1, 1층 102,103호 (고림동)",경기도 용인시 처인구 고림동 599-4 큰집 ,17149,37.24938463,127.2227257,
용인시,60계용인동백점,"경기도 용인시 기흥구 동백5로 21-8, 동백 지스타 1층 119,120호 (중동)","경기도 용인시 기흥구 중동 830-1번지 동백 지스타 119,120호 ",17006,37.27708069,127.1528687,
용인시,60계용인역북점,"경기도 용인시 처인구 명지로40번길 13, 연세프라자 1층 102호 (역북동)",경기도 용인시 처인구 역북동 752 ,17056,37.23233096,127.1869164,
용인시,60계용인한숲시티점,"경기도 용인시 처인구 남사면 한숲로 45, 한숲스퀘어옐로우 1층 139호",경기도 용인시 처인구 남사면 아곡리 694 ,17117,37.15282632,127.1701946,
용인시,60계치킨 기흥구청점,"경기도 용인시 기흥구 구갈로60번길 5 (구갈동, 105호)",경기도 용인시 기흥구 구갈동 352-2 105호 ,16972,37.28008104,127.1118167,
용인시,60계치킨 보라점,"경기도 용인시 기흥구 한보라2로14번길 3-5, 1층일부 (보라동)",경기도 용인시 기흥구 보라동 586-3 1층일부 ,17081,37.25396727,127.1117252,
용인시,60계치킨 수지성복점,"경기도 용인시 수지구 심곡로 87, 수지 제일 아이조움 비121,비122호 (성복동)","경기도 용인시 수지구 성복동 33-5번지 수지 제일 아이조움 비121,122호",16860,37.310926,127.0815741,
용인시,60계치킨 용인보정점,"경기도 용인시 기흥구 보정로 32, 107호 (보정동, 지젤스포츠클럽)",경기도 용인시 기흥구 보정동 1277 지젤스포츠클럽 107호,16903,37.31401614,127.1111118,
용인시,60계치킨용인포곡점,경기도 용인시 처인구 포곡읍 포곡로 174,,,,,
용인시,"633추어탕, 김이네행복한족발집","경기도 용인시 처인구 남사면 한숲로 54, 1층 101호",경기도 용인시 처인구 남사면 아곡리 701번지 1층 101호 일부 ,17117,37.1529445,127.1711389,
용인시,640철판,경기도 용인시 기흥구 사은로126번길 2 (보라동),경기도 용인시 기흥구 보라동 140-2 102-1호,17079,37.25551239,127.1184156,
용인시,666버거,"경기도 용인시 기흥구 구성로 59, 강산빌딩 1층 1호 (마북동)",경기도 용인시 기흥구 마북동 316 강산빌딩 1층 1호 ,16917,37.29508531,127.1161398,
용인시,666버거 동백점,"경기도 용인시 기흥구 동백3로11번길 12 (중동, 브릭스타워 103호)",경기도 용인시 기흥구 중동 852-3 브릭스타워 103호 ,17006,37.27019468,127.153092,
용인시,666버거처인구점,경기도 용인시 처인구 백옥대로 1109,,,,,
용인시,6964와인포차,"경기도 용인시 기흥구 마북로 182 (마북동,1층)",경기도 용인시 기흥구 마북동 143-6 1층 ,16911,37.30524712,127.1255556,
용인시,69노가리,경기도 용인시 기흥구 흥덕2로75번길 14,,,,,
용인시,6월의 강,경기도 용인시 수지구 죽전로 164,,,,,
용인시,7% 칠백식당 용인기흥직영점,"경기도 용인시 기흥구 한보라2로 5-11 (보라동, 도로변 1층 일부)",경기도 용인시 기흥구 보라동 578-5 도로변 1층 일부 ,17079,37.25489281,127.1108409,
용인시,7080콘서트,"경기도 용인시 기흥구 신구로12번길 9 (구갈동,2층)",경기도 용인시 기흥구 구갈동 412-9번지 2층 ,16970,37.2735199,127.1102973,
