,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
64,한국전력,백현마을한라비발디2단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 동백동 동백7로 96,37.279908,127.1609343,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 동백동 662 백현마을한라비발디,동백1동
65,한국전력,버들치경남1차,2,AC완속,경기도,용인시,경기도 용인시 수지구 성복1로 157,37.3147034,127.0623638,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 753 버들치마을경남아너스빌1차,성복동
66,한국전력,버들치경남1차,3,AC완속,경기도,용인시,경기도 용인시 수지구 성복1로 157,37.3147034,127.0623638,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 753 버들치마을경남아너스빌1차,성복동
67,한국전력,버들치경남1차,4,AC완속,경기도,용인시,경기도 용인시 수지구 성복1로 157,37.3147034,127.0623638,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 753 버들치마을경남아너스빌1차,성복동
68,한국전력,삼라마이다스빌,2,AC완속,경기도,용인시,경기도 용인시 처인구 남동 명지로 307,37.2279881,127.2097069,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 처인구 남동 684 구미마을 삼라 마이다스빌,중앙동
69,한국전력,상현엘지자이아파트,1,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 869,37.3041327,127.0897095,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 상현동 869 만현마을9단지엘지자이아파트,상현2동
70,한국전력,상현엘지자이아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 869,37.3041327,127.0897095,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 상현동 869 만현마을9단지엘지자이아파트,상현2동
71,한국전력,상현엘지자이아파트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 869,37.3041327,127.0897095,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 상현동 869 만현마을9단지엘지자이아파트,상현2동
72,한국전력,새천년그린빌1단지아파트,1,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈동 681,37.289937,127.1106807,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 기흥구 신갈동 681 녹원마을새천년그린빌1단지아파트,신갈동
73,한국전력,새천년그린빌1단지아파트,2,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈동 681,37.289937,127.1106807,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 기흥구 신갈동 681 녹원마을새천년그린빌1단지아파트,신갈동
74,한국전력,새천년그린빌1단지아파트,3,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈동 681,37.289937,127.1106807,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 기흥구 신갈동 681 녹원마을새천년그린빌1단지아파트,신갈동
75,한국전력,새터마을푸르지오,1,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 현암로 126,37.3314304,127.1225469,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 죽전동 1198 새터마을 푸르지오,죽전1동
76,한국전력,새터마을푸르지오,2,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 현암로 126,37.3314304,127.1225469,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 죽전동 1198 새터마을 푸르지오,죽전1동
77,한국전력,서천마을 1단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 서천동 서천서로 27,37.235632,127.0701048,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 서천동 736 센트럴파크원,서농동
78,한국전력,성동마을LG빌리지3차,2,AC완속,경기도,용인시,경기도 용인시 수지구 성복동 성복2로 126,37.3177395,127.0727057,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 726 성동마을 엘지빌리지3차,성복동
79,한국전력,성동마을LG빌리지3차,3,AC완속,경기도,용인시,경기도 용인시 수지구 성복동 성복2로 126,37.3177395,127.0727057,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 726 성동마을 엘지빌리지3차,성복동
80,한국전력,성동마을LG빌리지3차,4,AC완속,경기도,용인시,경기도 용인시 수지구 성복동 성복2로 126,37.3177395,127.0727057,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 726 성동마을 엘지빌리지3차,성복동
81,한국전력,성동마을LG빌리지3차,5,AC완속,경기도,용인시,경기도 용인시 수지구 성복동 성복2로 126,37.3177395,127.0727057,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 726 성동마을 엘지빌리지3차,성복동
82,한국전력,성복힐스테이트1차,2,AC완속,경기도,용인시,경기도 용인시 수지구 성복1로 91,37.3155023,127.0690598,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 성복동 771 버들치마을 성복 힐스테이트 1차,성복동
83,한국전력,수원동마을 쌍용스윗닷홈 2단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 상하동 중부대로 788번길 15,37.2558923,127.1414775,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 상하동 652 수원동마을쌍용스윗닷홈,상하동
