시도,시군구,읍면동,단지코드,단지명,단지분류,도로명주소,세대수,총주차대수,cell_ycrd,cell_xcrd
경기도,용인수지구,상현1동,A44872712,수지센트럴아이파크,아파트,경기도 용인시 수지구 상현로 101,895,1700,37.3069417,127.0825193
경기도,용인수지구,상현1동,A44851805,현대성우5차,아파트,경기도 용인시 수지구 상현로 119-6,310,580,37.309069,127.0838877
경기도,용인수지구,동천동,A44851113,동천마을현대2차홈타운,아파트,경기도 용인시 수지구 동천로63번길 10,1128,1126,37.3384777,127.0960934
경기도,용인수지구,동천동,A44851004,래미안이스트팰리스3단지,아파트,경기도 용인시 수지구 동천로135번길 21,885,1607,37.3338596,127.0890372
경기도,용인기흥구,신갈동,A44658412,갈현마을현대홈타운,아파트,경기도 용인시 기흥구 관곡로 16,584,589,37.2820122,127.1070063
경기도,용인수지구,죽전1동,A44816104,새터마을모아미래도,아파트,경기도 용인시 수지구 대지로 127,252,272,37.3304542,127.1220268
경기도,용인수지구,죽전1동,A44898513,용인죽전동부센트레빌,아파트,경기도 용인시 수지구 대지로 139,536,570,37.3303433,127.124804
경기도,용인수지구,동천동,A44874508,풍림2차,아파트,경기도 용인시 수지구 동천로 18,271,273,37.3415576,127.1003485
경기도,용인수지구,동천동,A44812004,동천동문6차굿모닝힐,아파트,경기도 용인시 수지구 동천로 53,220,425,37.3398297,127.0972126
경기도,용인수지구,동천동,A44812014,동천동문5차굿모닝힐,아파트,경기도 용인시 수지구 동천로 64,1334,1473,37.340029,127.0958119
경기도,용인수지구,동천동,A44874401,동천마을동문3차,아파트,경기도 용인시 수지구 동천로 93,181,265,37.3383055,127.0937324
경기도,용인기흥구,마북동,A10026882,용인마북신원아침도시,아파트,경기도 용인시 기흥구 마북로247번길 3,180,186,37.3142267,127.1297315
경기도,용인수지구,죽전1동,A44897120,새터마을죽전힐스테이트,아파트,경기도 용인시 수지구 현암로125번길 11,1998,2032,37.3344908,127.1212644
경기도,용인수지구,죽전1동,A44879606,죽전중앙하이츠,아파트,경기도 용인시 수지구 현암로63번길 2,271,635,37.3323438,127.1167034
경기도,용인기흥구,구성동,A44670301,스파팰리스리가,아파트,경기도 용인시 기흥구 언남로 5,533,730,37.2978641,127.1329632
